numer miejsca,nazwa,nazwa angielska,Opis,współrzędne,typ,czas dojazdu ze Stavros,godziny otwarcia,najlepsza pora zwiedzania,orientacyjny czas zwiedzania,koszt zwiedzania dla rodziny 2+2,Konieczna akcja,Zaplecze gastronomiczne,Ile jedzenia,Poziom trudności ADHD,Potencjał meltdownu,Strategie na meltdown,Ochrona przed słońcem,Najlepiej połączyć z,Zadania dla dzieci
38,Flakatoras Ceramics,Flakatoras Ceramics,"Autorska galeria i pracownia ceramiki w Chanii, prezentująca kolorowe, ręcznie malowane naczynia i rzeźby użytkowe inspirowane kreteńską florą i fauną.","35.5160, 24.0175",shop,25 min,9:00 - 22:00 (w sezonie),popołudniowy lub wieczorny spacer po Chanii,15 - 30 min,0 EUR wstęp wolny (ceramika tradycyjna ok. 15-30 EUR),Brak.,Sklep z ceramiką w Chanii – wokół pełna infrastruktura gastronomiczna Starego Miasta i okolic portu.,Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Sklep z ceramiką artystyczną, ciekawe kolory i faktury naczyń.","Niski - Przyjazny sklep z ceramiką artystyczną w Chanii. Ciekawe dla dzieci kolory i tekstury naczyń, krótki czas pobytu i łatwa ewakuacja eliminują ryzyko meltdownu.","Mały sklepik rzemieślniczy. Oglądanie kolorowych, unikalnych wyrobów z ceramiki to miły bodziec wzrokowy. Krótki czas pobytu bez kolejek chroni przed dysregulacją.",Cień (Wewnątrz). Warsztat i galeria ceramiki w chłodnym budynku.,"Muzeum Archeologiczne w ... (Miejsce 4), Rejs łodzią półpodwodną (Miejsce 27), Plaża miejska Nea Chora (Miejsce 44) - pracownia ceramiki w centrum Chanii.",1. Znajdź talerz pomalowany w tradycyjne kreteńskie wzory roślinne. 2. Policz wszystkie gliniane dzwoneczki wiszące na sznurkach przy wejściu. 3. Dotknij faktury nieszkliwionego naczynia i opisz różnicę między szorstkim a gładkim.
39,Dourakis Winery,Dourakis Winery,"Butikowa, rodzinna winnica w Alikampos, słynąca z darmowego oprowadzania po kamiennych piwnicach i degustacji wyśmienitych win w malowniczym, zielonym ogrodzie.","35.3218, 24.2185",shop,55 min,10:00 - 18:00,popołudnie (degustacja w ogrodzie),1.5 - 2 godziny,"0 EUR wstęp (pakiet degustacji wina z przekąskami dla dorosłych ok. 12-18 EUR/os, dorośli razem: 24-36 EUR)",Rekomendowana wcześniejsza rezerwacja online na degustację wina w ogrodzie.,Winnica serwuje wyłącznie lokalne przekąski i deski serów/wędlin do degustacji w ogrodzie. Na pełny obiad autorka rekomenduje pobliski Maza Cafenion.,"Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Oprowadzanie po piwnicach i degustacja. Czas siedzenia przy stole podczas degustacji dorosłych może być trudny dla dzieci. Wskazówki: Wybierz stolik w ogrodzie, przynieś zabawki sensoryczne, pozwól dzieciom biegać po trawniku między stolikami.","Średni - Dzieci: Dojazd (55 min) jest łatwy. Piękny, butikowy ogród pozwala dzieciom na swobodny ruch, choć czas degustacji dorosłych przy stoliku wymaga przygotowania zabawek/kolorowanek. Rodzice: Bezpłatny wstęp (0 EUR) i niezwykle spokojne otoczenie pozwalają rodzicom na sensoryczne wyciszenie przy kieliszku wina.","Winnica oferuje ładny ogród i piwniczki, ale czas degustacji wymaga cierpliwości od dzieci. Umożliwcie dzieciom spacer po trawie i ogrodzie winnicy, dajcie im kolorowanki przy stoliku lub połączcie wizytę z obiadem w pobliskim, luźnym Maza Cafenion.","Półcień / Cień. Kamienny dziedziniec winnicy jest zacieniony pergolami i drzewami, a piwnice leżakowe są całkowicie chłodne i ciemne.","Lake Kournas (Miejsce 3), Ancient Aptera (Miejsce 7) - winnica leży w pobliżu drogi krajowej do Georgioupoli; idealny przystanek na trasie do jeziora Kournas.","1. Zejdź do chłodnej, kamiennej piwnicy i powąchaj zapach dębowych beczek, w których leżakuje wino. 2. Znajdź w ogrodzie winnicy ukrytą rzeźbę lub ładny, stary dzban. 3. Policz, ile różnych kolorów butelek z winem widzisz na wystawie."
40,Anoskeli Winery,Anoskeli Winery,"Rodzinna posiadłość w Kolymvari łącząca świat wina i oliwy, oferująca zwiedzanie nowoczesnego młyna oraz degustację win Ano Playa i ekologicznej oliwy Tsounati.","35.4651, 23.7712",shop,50 min,10:00 - 18:00,"popołudnie (degustacja oliwy i wina, zwiedzanie młyna)",1.5 - 2 godziny,0 EUR wstęp (degustacja oliwy i wina z przekąskami ok. 10-15 EUR/os dla dorosłych),Rekomendowana wcześniejsza rezerwacja online na degustację wina/oliwy i zwiedzanie młyna.,"Winnica oferuje degustację swoich win i oliwy extra virgin wraz z lokalnymi przekąskami kreteńskimi, nie prowadzi jednak pełnej restauracji lunchowej.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.",Średnie - Wizyta w oliwiarni/degustacja. Podobnie jak w winnicach – wymaga cierpliwości podczas opowiadań. Wskazówki: Wykorzystaj rozległe ogrody oliwne na spacer i rozładowanie energii.,"Średni - Dzieci: Dojazd (50 min). Podobnie jak w Dourakis – ogrody dają przestrzeń do oddechu, ale sama prezentacja i degustacja wymagają cierpliwości. Rodzice: Spokojna, rodzinna atmosfera oliwiarni bez tłumów pozwala na relaks bez lęku o ocenę zachowania dzieci.",Podobnie jak w innych winnicach – wizyta w oliwiarni wymaga cierpliwości rodziców przy opowieściach. Pozwólcie dzieciom badać sensorycznie chropowate pnie oliwek na zewnątrz i spróbować delikatnego chleba maczanego w łagodnej oliwie.,Cień (Wewnątrz) / Półcień. Klimatyzowana sala degustacyjna oraz zacieniony taras z widokiem na gaje oliwne.,"Kisamos (Miejsce 17), Kastelli archaeological site (Miejsce 10) - winnica leży w połowie drogi na zachód do Kissamos.","1. Zobacz wielkie prasy do wyciskania oliwek i spróbuj zgadnąć, ile oliwek potrzeba na jedną butelkę oliwy. 2. Spróbuj zjeść chrupiącą grzankę zamoczoną w świeżej oliwie z oliwek. 3. Policz, ile rzędów drzew oliwnych rośnie wokół budynku."
41,Sklepik w Monastyrze Agia Triada,Holy Trinity Tzagaroli Monastery Shop,"Klasztorny sklepik w monastyrze Agia Triada, w którym można zakupić ekologiczne produkty wytwarzane przez mnichów, w tym oliwę extra virgin, wino, ocet i miód tymiankowy.","35.4656, 24.1248",shop,15 min,od wschodu do zachodu słońca,późne popołudnie,1 - 1.5 godziny,4 EUR wstęp do klasztoru (oliwa/wino tłoczone przez mnichów ok. 10-20 EUR),Brak.,"Sklep klasztorny z produktami mnichów (wino, oliwa). Najbliższe restauracje i kawiarnie znajdują się w drodze powrotnej lub w Stavros/Kalathas.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Sklep klasztorny z lokalnymi produktami. Szybka wizyta, ładne otoczenie.","Niski - Bardzo blisko bazy (15 min). Szybkie zakupy w pięknym klasztornym sklepie z produktami od mnichów nie wymagają od dzieci wysiłku, a piękne otoczenie sprzyja wyciszeniu.","Szybka, 15-minutowa wizyta handlowa. Kupcie ekologiczny miód lub oliwę i pozwólcie dzieciom nieść małe, bezpieczne pakunki, co da im poczucie ważnego zadania i rozładuje energię.","Cień (Wewnątrz). Sklep klasztorny mieści się w grubych, chłodnych murach monastyru.","Holy Trinity Tzagaróli Monas... (Miejsce 25), Plaża w Stavros (Miejsce 45), Plaża Tersanas (Miejsce 46) - sklep przyklasztorny odwiedza się razem z monastyrem oraz pobliskimi plażami na Akrotiri.","1. Odszukaj na półkach butelkę oliwy z oliwek z etykietą klasztorną i znajdź na niej rysunek klasztoru. 2. Powąchaj naturalny miód tymiankowy produkowany przez mnichów – opisz jego zapach. 3. Policz, ile dużych glinianych amfor (pitosów) stoi przy wejściu do sklepu."
42,Stemfilo Winery Paterakis,Stemfilo Winery Paterakis,"Kameralna, rodzinna winiarnia oferująca bezpretensjonalne degustacje win na tarasie widokowym z pięknym widokiem na zachodzące słońce i gaje oliwne.","35.4412, 24.1185",shop,45 min,11:00 - 19:00,późne popołudnie (piękny zachód słońca z tarasu),1.5 - 2 godziny,0 EUR wstęp (degustacja win domowych i zakupy ok. 10-20 EUR),Rekomendowana wcześniejsza rezerwacja online na degustację wina na tarasie widokowym.,"Winnica oferuje degustację win z deskami lokalnych serów i przekąsek na tarasie widokowym, bez pełnego menu restauracyjnego.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Mała rodzinna winiarnia. Mniej formalna niż duże obiekty, co ułatwia swobodne zachowanie dzieci.","Średni - Dzieci: Dojazd (45 min) jest znośny. Kameralna, mała i nieformalna atmosfera rodzinnej winiarni ułatwia swobodne zachowanie dzieci na widokowym tarasie. Rodzice: Niski stres finansowy i bezpośredni, bardzo życzliwy kontakt z gospodarzami redukują niepokój społeczny.","Mała, rodzinna winiarnia z luźną atmosferą. Brak sztywnej etykiety sprawia, że rodzice czują mniejszy stres społeczny. Dzieci mogą bezpiecznie odpoczywać na tarasach widokowych i obserwować góry.",Cień (Wewnątrz) / Półcień. Kameralna sala degustacyjna i zacienione obejście.,"Ancient Aptera (Miejsce 7), mill.o.petres (Miejsce 28) - kameralna winiarnia w rejonie Apokoronas, świetna na popołudniowy relaks.","1. Wypatruj tradycyjnych urządzeń do destylacji (miedzianych alembików) i zapytaj, jak się nazywają. 2. Policz, ile miedzianych lub drewnianych beczek służy tu za dekorację. 3. Znajdź najmłodszy krzew winny rosnący najbliżej wejścia."
43,Manousakis Winery,Manousakis Winery,"Wyjątkowa winnica rodziny Manousakis w Vatolakkos o toskańskim klimacie, słynąca z produkcji win Nostos, doskonałej restauracji ogrodowej oraz warsztatów artystycznych.","35.4445, 23.9052",shop,45 min,10:00 - 22:00,późne popołudnie i wieczór (wine tasting z kolacją przy zachodzie słońca),2 - 3 godziny,0 EUR wstęp (degustacja win i posiłek w ogrodzie pod pomarańczami ok. 60-80 EUR dla rodziny 2+2),"Bardzo rekomendowana wcześniejsza rezerwacja online, szczególnie na wine tasting połączony z kolacją w ogrodzie.","Tak, na terenie winnicy działa wyśmienita restauracja serwująca dania tradycyjnej kuchni kreteńskiej, idealnie skomponowane z produkowanymi na miejscu winami.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Średnie - Winnica z pięknym ogrodem restauracyjnym. Dzieci mogą spacerować pod drzewami pomarańczowymi, ale czas oczekiwania na dania wymaga organizacji czasu. Wskazówki: Weź ze sobą proste gry planszowe lub karty do stolika.","Średni - Dzieci: Dojazd (45 min) jest łatwy. Przepiękny ogród restauracyjny pod drzewami pomarańczowymi pozwala na krótki spacer, choć czas spędzony przy stole podczas kolacji i degustacji wymaga zabrania zabawek wyciszających. Rodzice: Relaksująca kolacja w cieniu drzew i wybitne wino doskonale regenerują zmęczony układ nerwowy rodziców.","Wspaniały ogród restauracyjny z dużą ilością zieleni. Dzieci mogą bezpiecznie spacerować pod drzewami pomarańczowymi w cieniu, badając opadłe liście, podczas gdy rodzice w spokojnej atmosferze degustują wina.","Półcień. Degustacja i lunch odbywają się na urokliwym patio, pod gęstym cieniem dojrzałych drzew pomarańczowych i oliwnych.","Botanical Garden of Crete (Miejsce 5), Arevitis Farm (Miejsce 9) - wytworna winiarnia w Vatolakkos, idealny przystanek w drodze powrotnej z Ogrodu Botanicznego.","1. Znajdź w pięknym ogrodzie najgrubszy pień drzewa pomarańczowego i spróbuj go zmierzyć rozpiętością swoich ramion. 2. Policz, ile szklanych kieliszków stoi na stole degustacyjnym rodziców. 3. Narysuj na kartce papieru swoją własną, wymarzoną etykietę na butelkę soku winogronowego."
44,Plaża Kalathas,Kalathas Beach,"Bezpieczna, piaszczysta plaża na półwyspie Akrotiri z łagodnym zejściem do wody i bardzo spokojnym morzem, idealna dla rodzin z małymi dziećmi.","35.5552, 24.0831",plaża,10 min,brak ograniczeń,wczesny poranek lub późne popołudnie,2 - 4 godziny,0 EUR wstęp wolny (opcjonalnie zestaw leżaków z parasolem ok. 10-15 EUR),Brak.,"Tak, tuż przy plaży działa tradycyjna tawerna oraz kantyna serwująca lunch, przekąski i napoje.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Plaża z bardzo łagodnym zejściem do wody, drobny piasek i spokojne morze. Świetne warunki do bezpiecznej zabawy bez przeciążenia sensorycznego.","Niski - Dzieci: Bardzo blisko (10 min). Niezwykle łagodne zebranie, miękki piasek i spokojne morze działają kojąco i regulująco na zmysły dzieci. Rodzice: Zerowy koszt wstępu (0 EUR) i brak jazdy samochodem dają 100% relaksu i komfortu psychicznego.","Idealne warunki na bezstresowe plażowanie. Bardzo łagodne, płytkie wejście do wody, drobny piasek i brak fal dają dzieciom poczucie bezpieczeństwa fizycznego i ułatwiają rodzicom czujną, spokojną obserwację bez lęku.","Pełne słońce. Szeroka, piaszczysta plaża całkowicie wystawiona na słońce. Dostępne są parasole i leżaki do wynajęcia.","Plaża Tersanas (Miejsce 46), Plaża w Stavros (Miejsce 45), Holy Trinity Tzagaróli Monas... (Miejsce 25) - najbliższe sąsiedztwo na półwyspie Akrotiri, doskonałe na krótkie, niewyczerpujące wyjazdy.","1. Sprawdź, czy dasz radę dopłynąć (lub przejść z rodzicami przy niskiej wodzie) do małej wysepki naprzeciwko plaży. 2. Zbuduj z mokrego piasku wielki wulkan, a potem wykop kanał, przez który woda z morza dopłynie do krateru. 3. Policz, ile małych krabów lub muszelek uda Ci się znaleźć na brzegu."
46,Plaża w Stavros,Stavros Beach,"Słynna zatoka o białym piasku u stóp góry Vardies, znana z filmu „Grek Zorba” – płytka, osłonięta od fal i wiatru, przypominająca bezpieczne jezioro.","35.5908, 24.0761",plaża,0 min,brak ograniczeń,wczesny poranek lub późne popołudnie (Sunset Cafe Bar),2 - 4 godziny,0 EUR wstęp wolny (opcjonalnie komplet leżaków z parasolem ok. 10-15 EUR),Brak.,"Tak, przy plaży działa kilka świetnych tawern serwujących świeże ryby i owoce morza oraz klimatyczny Sunset Cafe Bar pod tamaryszkami.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Słynna plaża w Stavros. Płytka, przypominająca jezioro zatoka, brak fal, czysty piasek. Idealna, bezpieczna i uspokajająca przestrzeń dla dzieci neuroatypowych.","Niski - Dzieci: Lokalna baza (0 min dojazdu). Płytka, bezfalowa, przypominająca jezioro zatoka to najbezpieczniejsze sensorycznie miejsce na Krecie do nieskrępowanej zabawy w wodzie. Rodzice: Całkowity brak zmęczenia jazdą, zero kosztów (0 EUR) i możliwość natychmiastowego powrotu do domu w razie jakichkolwiek oznak zmęczenia dają maksymalny komfort.","Kultowa plaża tuż przy Waszym domu w Stavros. Płytka, spokojna jak jezioro zatoka otoczona górą jest całkowicie bezpieczna. W razie nagłego meltdownu u dziecka lub rodzica, możecie spakować się i wrócić do domu pieszo lub autem w 2 minuty.",Pełne słońce. Plaża w zatoce otoczona skałami – brak naturalnego cienia na piasku. Warto wynająć leżak z parasolem lub schronić się w tawernie.,"Plaża Tersanas (Miejsce 46), Plaża Kalathas (Miejsce 43), Holy Trinity Tzagaróli Monas... (Miejsce 25) - Wasza domowa baza; idealna na łączenie z innymi punktami na półwyspie Akrotiri.","1. Spójrz na wielką, pionową górę wznoszącą się nad plażą i wyobraź sobie, że to śpiący olbrzym (znajdź jego nos i brodę!). 2. Ponieważ woda w tej zatoce jest super spokojna i płytka, spróbuj położyć się na wodzie na plecach i posłuchaj podwodnej ciszy. 3. Ułóż z suchych patyków swoje imię na piasku."
47,Plaża Tersanas,Tersanas Beach,"Kameralna i płytka piaszczysta zatoczka blisko Stavros z łagodnym wejściem do morza i cichą tawerną tuż przy brzegu, oaza spokoju dla rodzin.","35.5631, 24.0785",plaża,5 min,brak ograniczeń,wczesny poranek lub późne popołudnie (idealna dla rodzin),2 - 3 godziny,0 EUR wstęp wolny (opcjonalnie komplet leżaków z parasolem ok. 10-15 EUR),Brak.,"Tak, bezpośrednio przy tej kameralnej plaży działa urokliwa, tradycyjna tawerna z pięknym widokiem na zatokę.",Bardzo mało / Nic (Bezstresowo) - Weź tylko butelkę wody dla dzieci na sam spacer. Wszystko kupicie na miejscu w rozsądnych cenach.,"Łatwe - Kameralna, bardzo spokojna zatoka z łagodnym wejściem do wody. Mała skala miejsca sprawia, że jest bezpiecznie i cicho.","Niski - Dzieci: Zaledwie 5 minut drogi. Mała, kameralna zatoka o bardzo łagodnym wejściu do wody, pozbawiona silnego wiatru i fal, co ułatwia samoregulację dzieci. Rodzice: Szybki dojazd, zerowe koszty (0 EUR) i pełen spokój małej skali plaży gwarantują bezstresowe popołudnie.","Niezwykle kameralna, schowana w skałach zatoczka ze spokojną wodą. Mała skala miejsca sprawia, że jest ono bardzo przewidywalne i łatwe do kontrolowania dla dziecka AuDHD. Pełna swoboda ruchowa i głęboki cień w tawernie obok.","Pełne słońce. Kameralna, piaszczysta zatoczka, całkowicie nasłoneczniona. Świetna dla dzieci, ale wymaga parasola.","Plaża w Stavros (Miejsce 45), Plaża Kalathas (Miejsce 43), Holy Trinity Tzagaróli Monas... (Miejsce 25) - zaledwie 5 minut od Stavros, idealna na zmianę otoczenia w ciągu dnia.","1. Ta zatoczka jest bardzo mała i spokojna – spróbuj policzyć, ile kroków ma szerokość całej plaży od skały do skały. 2. Znajdź na brzegu bezpieczne miejsce, gdzie woda jest tak przezroczysta, że widać Twoje stopy na dnie. 3. Zrób z piasku i wody 'błotne babki'."
48,Mniejsza z plaż Agioi Apostoloi,Smaller Agioi Apostoloi Beach,"Ukryta w małej zatoczce piaszczysta plaża w Chanii, otoczona pachnącym lasem piniowym, który zapewnia zbawienny cień do odpoczynku i zabawy.","35.5141, 23.9812",plaża,30 min,brak ograniczeń,wczesny poranek lub późne popołudnie,2 - 3 godziny,0 EUR wstęp wolny (opcjonalnie komplet leżaków z parasolem ok. 10-15 EUR),Brak.,"Tak, przy plaży działa bardzo popularny beach bar Iguana oferujący przekąski i drinki, a w bliskim sąsiedztwie (park) znajdują się restauracje i kawiarnie.","Mało (Lokalny lunch) - Weź kilka drobnych przekąsek na drogę w aucie i wodę. Główny, pyszny posiłek zjecie na miejscu w tawernie.","Łatwe - Płytkie zatoczki, piękny park obok plaży z placem zabaw i zacienionymi alejkami do spacerowania i biegania.","Niski do Średni - Dzieci: Dojazd (30 min) is bezproblemowy. Płytka zatoczka z drobnym piaskiem i piękny, zacieniony las piniowy tuż obok dają świetne opcje zmiany otoczenia w razie przemęczenie hałasem i nadmiarem wrażeń. Rodzice: Niski koszt (0 EUR) i pełna infrastruktura parkowa ułatwiają zarządzanie czasem, choć plaża bywa głośniejsza ze względu na popularny beach bar.","Płytka zatoczka z drobnym piaskiem i piękny, zacieniony las piniowy (sosnowy) tuż obok dają genialne, zróżnicowane sensorycznie opcje zabawy (tor przeszkód z szyszek, chłód pod drzewami), co pozwala błyskawicznie opanować kryzys.","Pełne słońce / Półcień. Plaża jest nasłoneczniona, ale bezpośrednio za nią rozciąga się park piniowy, oferujący wspaniały, naturalny i pachnący cień.",The Little Fun Train - Agioi A... (Miejsce 26) - plaża i stacja kolejki turystycznej znajdują się w tym samym parku leśnym.,"1. Wejdź do pobliskiego lasu piniowego (sosnowego), nazbieraj szyszek i ułóż z nich leśny tor przeszkód. 2. Zamknij oczy w lesie piniowym i powąchaj niesamowity zapach żywicy i igliwia. 3. Znajdź na plaży miejsce, gdzie skały tworzą naturalne małe baseniki i poszukaj w nich małych krewetek lub rybek."
49,Plaża Preveli,Preveli Beach,"Spektakularna plaża palmowa położona u ujścia rzeki Megalopotamos na południowym wybrzeżu Krety. Słynie z dzikiego, naturalnego lasu palmowego (palmy teoforasta) rosnącego wzdłuż słodkowodnego koryta rzeki, co tworzy niesamowity tropikalny krajobraz i unikalny mikroklimat.","35.1525, 24.4735",plaża,1 godz. 50 min,brak ograniczeń,"wcześnie rano (przed 9:30) lub późne popołudnie (po 16:30) ze względu na upał, palące słońce i fale turystów",3 - 5 godzin (pół dnia),0 EUR wstęp (parking ok. 2-3 EUR),"Zejście z głównego parkingu klifowego wymaga pokonania ok. 400 stromo położonych kamiennych schodów (droga powrotna pod górę jest ekstremalnie męcząca). Alternatywnie: dopłynięcie łodzią motorową / taksówką wodną z Plakias lub Damnoni, co eliminuje konieczność trekkingu.","Podstawowe – mała, klimatyczna kantyna na plaży serwująca zimne napoje, tosty, lody i szybkie przekąski. Brak pełnej tawerny.",Dużo (Długa trasa / Wycieńczające podejście) - Koniecznie zapakujcie pożywny Lunchbox mały oraz duży zapas chłodnej wody w bidonach termicznych.,"Trudne - Pokonanie stromych schodów klifowych w drodze powrotnej (ok. 20-30 min wspinaczki) w pełnym słońcu bez cienia to ogromne wyzwanie kondycyjne i sensoryczne, które może wywołać silną niechęć dziecka. Jednak sam las palmowy i rzeka są niezwykle stymulujące i oferują świetną zabawę.","Wysoki do Ekstremalny - Dzieci: Długa trasa samochodem (1 godz. 50 min) po krętych, górskich drogach buduje napięcie, a wspinaczka pod górę po schodach w drodze powrotnej to prosta droga do skrajnego fizycznego buntu. Rodzice: Stres i ciągła obawa o bezpieczeństwo dzieci na schodach oraz własne zmęczenie fizyczne w upale drastycznie wyczerpują cierpliwość.","1. Skorzystajcie z rejsu małą łodzią motorową z plaży Damnoni lub Plakias – podróż trwa kilkanaście minut, jest łagodna i stanowi dodatkową, ekscytującą atrakcję dla dzieci (omijacie wtedy schody). 2. Jeśli schodzicie pieszo: zaplanujcie to rano (wejście o 8:00), schodźcie powoli i podzielcie powrót pod górę na 3-4 etapy z przerwami na picie wody i drobnymi nagrodami (np. obietnica lodów na szczycie).","Częściowa. Plaża jest w pełnym słońcu (brak komercyjnych parasoli ze względu na status rezerwatu), ale gaj palmowy wzdłuż rzeki oferuje zbawienny, naturalny cień, chłód i osłonę przed wiatrem.","Wąwóz Kourtaliotiko (spektakularny punkt widokowy i wodospady po drodze) lub tradycyjna, cienista wioska Spili (odpoczynek przy fontannie z lwimi głowami).","1. Znajdź magiczne miejsce, w którym zimna słodka woda z rzeki łączy się z ciepłym słonym morzem. 2. Zamień się w odkrywcę dżungli i poszukaj śladów ukrytych zwierząt lub egzotycznych ptaków w lesie palmowym. 3. Policz małe kaczki pływające spokojnie w rzece."
50,Plaża Macherida,Macherida Beach,"Dzika, mała i urokliwa zatoczka położona zaledwie kilka minut drogi od Stavros. Słynie z krystalicznie czystej, turkusowej wody oraz drobnego jasnego piasku. Ze względu na swoje osłonięte położenie, woda jest tu niemal zawsze spokojna niczym w basenie.","35.5806, 24.0722",plaża,5 min,brak ograniczeń,"wczesny poranek (do 10:00) – wtedy zatoczka jest pusta, cicha i nie ma jeszcze upału",1 - 2 godziny,0 EUR,Brak.,Brak (plaża całkowicie dzika). Najbliższe tawerny i sklepy znajdują się w Tersanas lub Stavros (3-5 min autem).,"Średnio (Krótki pobyt) - Weźcie ze sobą wodę i drobne przekąski (owoce, krakersy), bo na miejscu nie ma żadnego sklepu.","Łatwe - Króciutka podróż autem, brak tłumów rano i mała przestrzeń ułatwiająca pilnowanie dzieci. Brak bodźców komercyjnych (głośna muzyka, kramy) sprzyja wyciszeniu.","Niski do Średniego - Dzieci: Brak męczącego dojazdu i spokojna woda redukują stres. Jedynym wyzwaniem sensorycznym może być brak infrastruktury (brak toalety i prysznica) oraz fakt, że plaża jest bardzo lubiana przez naturystów (co dla niektórych dzieci może być zaskakujące). Rodzice: Zerowy stres związany z parkowaniem czy kosztami, łatwa i szybka ewakuacja w razie potrzeby.","Ze względu na brak naturalnego cienia, koniecznie zabierzcie ze sobą własny lekki namiot plażowy UV lub parasol. W razie marudzenia lub dyskomfortu spowodowanego brakiem toalet, możecie w 5 minut wrócić do Waszego domku w Stavros. Jeśli obecność naturystów krępuje dzieci, przenieście się na pobliską, w pełni rodzinną plażę Tersanas.","Brak ochrony. Plaża jest całkowicie odsłonięta, otoczona niskimi skałkami. Własny parasol lub namiot UV jest bezwzględnie wymagany.",Plaża Tersanas (Miejsce 47) lub Monastyr Agia Triada (Miejsce 26).,"1. Policz, ile różnych rybek uda Ci się wypatrzyć w tej krystalicznej wodzie. 2. Zbuduj mały zamek z piasku tuż przy brzegu. 3. Znajdź trzy najbardziej płaskie kamyczki do puszczania kaczek na wodzie."
51,Zatoka w Wąwozie Katholiko,Katholiko Bay,"Magiczna, ukryta na końcu surowego wąwozu Katholiko skalista zatoczka z niewiarygodnie przejrzystą, szmaragdową wodą. Otoczona wysokimi klifami, jest całkowicie odizolowana od świata i stanowi raj dla miłośników snorkelingu i dzikiej przyrody.","35.5910, 24.1645",plaża,15 min do parkingu + 1 godz. spaceru wąwozem,brak ograniczeń (wstęp przez klasztor),"wcześnie rano (start trekkingu o 8:00), aby uniknąć morderczego upału podczas drogi powrotnej pod górę",3 - 4 godziny (wliczając trekking w obie strony),0 EUR (symboliczna opłata za parking przy Gouverneto ok. 2 EUR),Wymagane jest stabilne obuwie sportowe/trekkingowe do marszu po kamieniach oraz ubranie zakrywające ramiona i kolana na czas przejścia przez teren klasztoru Gouverneto.,Całkowity brak (dzika natura). Wszystkie zapasy jedzenia i wody trzeba przynieść ze sobą w plecaku.,"Bardzo dużo (Wymagający trekking) - Spakujcie wysokokaloryczne przekąski, tosty/kanapki (Lunchbox) oraz co najmniej 1,5L zimnej wody na osobę w bidonach termicznych.","Bardzo trudne - Droga powrotna to strome podejście pod górę w pełnym słońcu bez cienia, co wymaga ogromnej determinacji i cierpliwości. Jednak sam marsz dnem baśniowego wąwozu pośród ruin starożytnego klasztoru i jaskiń jest niesamowicie stymulujący i ekscytujący dla małych odkrywców.","Wysoki do Ekstremalnego - Dzieci: Fizyczne zmęczenie marszem pod górę w upale i brak możliwości szybkiej ewakuacji autem (trzeba wrócić pieszo do Gouverneto) to wysokie ryzyko kryzysu. Rodzice: Lęk o zmęczenie dzieci, brak cienia i wysiłek fizyczny obniżają poziom cierpliwości.","1. Zamieńcie powrotny trekking w ekscytującą misję (np. „zbieranie punktów energii” za każdy pokonany zakręt schodów – nagroda w postaci żelka lub łyka chłodnego soku). 2. Róbcie częste, zaplanowane postoje w cieniu skalnych nisz. 3. Jeśli 5-latek jest zmęczony, rozważcie rezygnację z zejścia na sam dół do zatoki i odpoczynek przy malowniczych ruinach klasztoru Katholiko (który sam w sobie jest niesamowitą atrakcją).","Brak ochrony. Szlak i zatoka są niemal całkowicie wystawione na słońce (jedynie wysokie ściany wąwozu dają okresowy cień). Nakrycia głowy, okulary i filtry UV są absolutnie kluczowe.",Monastyr Gouverneto (Gouverneto Monastery) lub Monastyr Agia Triada (Miejsce 26).,"1. Załóż maskę do nurkowania i poszukaj ukrytych krabów w szczelinach skalnych pod wodą. 2. Znajdź wejście do jaskini św. Jana Pustelnika i sprawdź, jak daleko sięga chłód z jej wnętrza. 3. Policz, ile kóz kica po pionowych ścianach wąwozu."
